Date,Steps,Distance,Calories
1-Feb,28479,23440,1236
1-Feb,17942,14266,756
1-Feb,12482,9833,503
1-Feb,19470,16140,825
2-Feb,27570,23109,1219
2-Feb,12840,10286,526
3-Feb,9248,7118,354
3-Feb,12028,9957,507
5-Feb,6215,5794,383
6-Feb,3821,3671,237
6-Feb,5627,5230,361
7-Feb,20546,15902,839
8-Feb,14733,11287,565
8-Feb,19803,15372,827
8-Feb,26126,21042,1191
9-Feb,8108,6248,317
9-Feb,25365,20487,1172
9-Feb,18891,14973,800
10-Feb,9903,7865,412
10-Feb,17763,14080,762
10-Feb,13317,10148,540
11-Feb,6023,4547,235
11-Feb,12665,9651,520
13-Feb,25807,20729,1156
14-Feb,13432,10404,527
14-Feb,24669,19853,1124
14-Feb,22913,17874,910
15-Feb,19370,15004,747
15-Feb,21960,17292,898
15-Feb,21125,17051,962
16-Feb,12456,9584,481
16-Feb,20216,16423,944
18-Feb,11936,10457,658
19-Feb,8943,8365,531
19-Feb,11593,9887,644
20-Feb,20913,16300,932
21-Feb,12210,9412,464
21-Feb,20287,15514,926
21-Feb,16217,12065,642
22-Feb,11000,8408,421
22-Feb,15480,11224,621
22-Feb,21256,16709,941
23-Feb,14010,10843,531
23-Feb,20463,15752,934
23-Feb,17815,14065,782
24-Feb,10664,8357,409
24-Feb,16901,13077,755
24-Feb,17216,12612,674
25-Feb,11300,8645,433
25-Feb,16317,11613,647
25-Feb,11023,8174,437
26-Feb,8210,6285,314
26-Feb,10476,7544,427
27-Feb,23511,17776,994
27-Feb,11497,8874,438
28-Feb,22662,16909,969
28-Feb,12630,9327,492
1-Mar,7816,5985,294
1-Mar,12088,8729,480
1-Mar,22971,17486,948
2-Mar,16244,12512,609
2-Mar,21909,16371,921
5-Mar,17408,12770,683
6-Mar,10942,8357,413
6-Mar,15670,11190,631
6-Mar,23772,18102,1010
7-Mar,14823,11360,561
7-Mar,22824,17017,985
7-Mar,15387,11535,597
8-Mar,11789,9068,442
8-Mar,14596,10626,581
8-Mar,19684,15205,871
9-Mar,9229,7089,350
9-Mar,18944,14439,850
13-Mar,22743,17620,987
14-Mar,12038,9255,455
14-Mar,21980,16743,971
14-Mar,12467,9440,486
15-Mar,7093,5497,267
15-Mar,11905,8810,471
15-Mar,19189,14672,824
16-Mar,7832,6010,294
16-Mar,18472,13971,804
19-Mar,10207,7260,397
20-Mar,3718,2778,142
20-Mar,9950,6992,389
20-Mar,20934,15933,901
21-Mar,8816,6773,332
21-Mar,20195,15104,887
21-Mar,15202,11318,594
22-Mar,7162,5605,273
22-Mar,14506,10605,572
22-Mar,9642,7333,368
23-Mar,7623,5934,287
23-Mar,9204,6802,360
26-Mar,24195,18300,1018
26-Mar,11163,8567,419
27-Mar,23196,17259,999
28-Mar,13392,10006,522
28-Mar,8116,6277,304
28-Mar,12746,9321,510
