Year,Region,Total,Crimes against the person,Murder,Intentional murder,Attempted murder,Killing a newborn,Pushing to suicide,Lust,Molestation,Rape,Attempted rape,Pimping,Forced homosexualism,Body injury,Severe body injury,Kidnapping,Keeping hostage,Human trafficing,Crime against property,Robbery,Armed robbery,Armed robbery with firearms,Stealing,Pickpocketing,Breaking and entering,Office break in,Store break in,Vehicle break in ,Fraud,Extortion,Generally dangerous crime,Arson,Damage through explosion,Illegal firearms ownership,Vehicle theft,Falsifying license plates,Illegal entry of a vehicle,Crimes related to drugs,Smuggling,"Production, possession, distribution, carrying"
2000,Blagoevgrad,37.18873633,85.79234973,90,87.5,100,0,0,97.14285714,100,100,66.66666667,100,100,83.65384615,100,92.30769231,0,71.42857143,25.77132486,51.35135135,47.05882353,25,22.71944923,16.39344262,14.46469248,22,24.04181185,22.12389381,73.13432836,66.66666667,63.68821293,26.13636364,0,75,0,0,0,89.18918919,0,100
2000,Burgas,53.65638767,91.15646259,80,83.33333333,70,0,100,98.21428571,93.33333333,100,100,100,100,85.78947368,87.5,100,0,96.875,49.41634241,60.96256684,62.5,80,46.27208481,60.83916084,32.66033254,24.46808511,43.86792453,42.4071991,78,93.33333333,46.68319901,29.41176471,33.33333333,98.24561404,50,0,0,94.73684211,0,100
2000,Varna,39.72148541,83.79530917,87.59124088,83.33333333,85.71428571,0,89.79591837,92.40506329,100,88.88888889,100,100,75,75.15151515,100,77.77777778,0,90.16393443,32.84372105,44.74522293,50,33.33333333,29.52676493,22.34432234,26.45867099,16.27906977,37.51937984,17.68779968,70.58823529,86.66666667,40.76200418,13.92405063,12.5,100,30,0,0,97.87234043,0,97.77777778
2000,Veliko Turnovo,55.41619156,91.46919431,93.33333333,100,100,100,0,87.17948718,88.88888889,88.46153846,50,100,0,91.89189189,0,100,0,91.89189189,47.20992028,51.78571429,0,0,44.92517892,37.97468354,27.78378378,36,32.19373219,29.91689751,84.375,80,74.81481481,45.45454545,0,94.11764706,66.66666667,0,0,100,0,100
2000,Vidin,53.02267003,90.22988506,90.90909091,100,80,0,0,95.45454545,100,90,0,100,0,88.67924528,100,100,0,90.625,44.60756635,61.11111111,0,0,39.39986954,6.25,37.71929825,50,41.84397163,26.82926829,89.90825688,100,61.2244898,17.24137931,0,91.66666667,100,0,0,100,0,100
2000,Vratsa,48.4123624,90.12345679,76.47058824,77.77777778,100,0,0,100,100,100,100,0,0,88.62275449,100,100,0,94.11764706,40.4656646,50.43478261,0,0,38.70550162,48.27586207,33.46693387,49.56521739,34.48275862,27.12765957,64.28571429,100,56.51162791,16.88311688,40,95,0,0,0,85.71428571,0,100
2000,Gabrovo,81.96721311,96.47058824,90,80,100,0,0,100,100,100,0,0,0,97.77777778,100,100,0,92.85714286,76.52495379,85.71428571,0,0,73.82978723,95.23809524,61.34969325,55.55555556,73.20261438,80.64516129,84.21052632,100,89.83606557,57.14285714,0,87.5,0,0,0,100,0,100
2000,Dobritch,40.6420765,75,31.25,0,50,0,12.5,85.71428571,76.92307692,81.81818182,100,100,0,77.04918033,0,88.88888889,0,81.81818182,32.74211712,57.79220779,27.27272727,28.57142857,29.27828553,22.98850575,23.93098275,31.25,33.63095238,18.2320442,65.82278481,100,61.79775281,18.42105263,0,87.5,0,0,0,100,0,100
2000,Kardzhali,56.77419355,93.5483871,80,100,100,0,100,100,100,100,100,100,100,96.72131148,100,83.33333333,0,87.5,47.35899731,73.33333333,100,100,44.35146444,50,40.52287582,41.66666667,52.94117647,37.34177215,73.33333333,100,74.40758294,42.37288136,100,91.66666667,0,0,0,100,0,100
2000,Kyustendil,44.93280058,84.1025641,100,100,100,0,0,100,100,100,100,100,100,78.57142857,100,66.66666667,0,85.9375,30.21052632,63.88888889,100,0,27.15038034,37.5,22.11538462,40.98360656,30.15075377,17.15481172,59.09090909,100,75.37796976,14.28571429,0,88,0,0,0,100,0,100
