Year,Station,St.type,Average,Average percent,Max. 8-hour,Max. 8-hour
2022,Copenhagen/1103,Street,220,"201582,83%",832,"83200,00%"
2022,Copenhagen/1257,Street,0,"201576,00%",0,"0,00%"
2022,Odense/9155,Street,0,"201563,00%",0,"0,00%"
2022,Odense/9156,Street,154,"201550,00%",981,"98100,00%"
2022,Aalborg/8151,Street,158,"201537,00%",1087,"108700,00%"
2022,Århus/6153,Street,96,"201523,00%",674,"67400,00%"
2022,Copenhagen/1259,Urban backgr.,149,"201509,00%",377,"37700,00%"
2022,Risø,regional,138,"201495,00%",477,"47700,00%"
2022,Risø/Lille Valby,regional,138,"201481,00%",477,"47700,00%"
2021,Copenhagen/1103,Street,266,"201467,00%",852,"85200,00%"
2021,Copenhagen/1257,Street,0,"201453,00%",0,"0,00%"
2021,Odense/9155,Street,0,"201440,00%",0,"0,00%"
2021,Odense/9156,Street,256,"201427,00%",659,"65900,00%"
2021,Aalborg/8151,Street,215,"201413,00%",659,"65900,00%"
2021,Århus/6153,Street,194,"201399,00%",686,"68600,00%"
2021,Copenhagen/1259,Urban backgr.,176,"201385,00%",481,"48100,00%"
2021,Risø,regional,181,"201371,00%",444,"44400,00%"
2021,Risø/Lille Valby,regional,181,"201357,00%",444,"44400,00%"
2020,Copenhagen/1103,Street,264,"201343,00%",2004,"200400,00%"
2020,Odense/9156,Street,170,"201329,00%",860,"86000,00%"
2020,Aalborg/8151,Street,191,"201316,00%",710,"71000,00%"
2020,Århus/6153,Street,221,"201302,00%",603,"60300,00%"
2020,Copenhagen/1259,Urban backgr.,184,"201288,00%",446,"44600,00%"
2020,Risø,regional,160,"201274,00%",526,"52600,00%"
2020,Risø/Lille Valby,regional,160,"201260,00%",526,"52600,00%"
2019,Copenhagen/1103,Street,276,"201246,00%",823,"82300,00%"
2019,Odense/9156,Street,245,"201232,00%",695,"69500,00%"
2019,Århus/6153,Street,253,"201219,00%",554,"55400,00%"
2019,Copenhagen/1259,Urban backgr.,185,"201206,00%",421,"42100,00%"
2019,Risø,regional,188,"201192,00%",1465,"146500,00%"
2019,Risø/Lille Valby,regional,188,"201178,00%",1465,"146500,00%"
2018,Copenhagen/1103,Street,326,"201164,00%",1683,"168300,00%"
2018,Copenhagen/1257,Street,0,"201150,00%",0,"0,00%"
2018,Odense/9155,Street,0,"201137,00%",0,"0,00%"
2018,Odense/9156,Street,218,"201124,00%",857,"85700,00%"
2018,Aalborg/8151,Street,0,"201110,00%",0,"0,00%"
2018,Århus/6153,Street,243,"201096,00%",691,"69100,00%"
2018,Copenhagen/1259,Urban backgr.,189,"201082,00%",551,"55100,00%"
2018,Risø,regional,210,"201068,00%",635,"63500,00%"
2018,Risø/Lille Valby,regional,210,"201054,00%",635,"63500,00%"
2017,Copenhagen/1103,Street,282,"201040,00%",1176,"117600,00%"
2017,Odense/9156,Street,226,"201025,00%",947,"94700,00%"
2017,Århus/6153,Street,232,"201011,00%",996,"99600,00%"
2017,Copenhagen/1259,Urban backgr.,201,"200997,00%",630,"63000,00%"
2017,Risø,regional,178,"200983,00%",633,"63300,00%"
2017,Risø/Lille Valby,regional,178,"200969,00%",633,"63300,00%"
2016,Copenhagen/1103,Street,357,"200955,00%",1240,"124000,00%"
2016,Odense/9156,Street,282,"200940,00%",1413,"141300,00%"
2016,Århus/6153,Street,246,"200926,00%",1112,"111200,00%"
2016,Copenhagen/1259,Urban backgr.,194,"200912,00%",645,"64500,00%"
2016,Risø,regional,182,"200898,00%",1246,"124600,00%"
2016,Risø/Lille Valby,regional,182,"200884,00%",1246,"124600,00%"
2015,Copenhagen/1103,Street,355,"200870,00%",942,"94200,00%"
2015,Odense/9155,Street,255,"200855,00%",816,"81600,00%"
2015,Århus/6153,Street,233,"200841,00%",677,"67700,00%"
2015,Copenhagen/1259,Urban backgr.,194,"200827,00%",559,"55900,00%"
2015,Risø,regional,173,"200813,00%",473,"47300,00%"
2015,Risø/Lille Valby,regional,173,"200799,00%",473,"47300,00%"
2014,Copenhagen/1103,Street,376,"200785,00%",1142,"114200,00%"
2014,Odense/9155,Street,320,"200770,00%",1077,"107700,00%"
2014,Aalborg/8151,Street,373,"200756,00%",1049,"104900,00%"
2014,Århus/6153,Street,283,"200742,00%",1734,"173400,00%"
2014,Copenhagen/1259,Urban backgr.,227,"200728,00%",578,"57800,00%"
2014,Risø,regional,172,"200713,00%",465,"46500,00%"
2014,Risø/Lille Valby,regional,172,"200698,00%",465,"46500,00%"
2013,Copenhagen/1103,Street,364,"200683,00%",1074,"107400,00%"
2013,Odense/9155,Street,364,"200668,00%",1904,"190400,00%"
2013,Aalborg/8151,Street,398,"200653,00%",1056,"105600,00%"
2013,Århus/6153,Street,288,"200638,00%",1434,"143400,00%"
2013,Copenhagen/1259,Urban backgr.,240,"200623,00%",828,"82800,00%"
2013,Risø,regional,199,"200608,00%",845,"84500,00%"
2013,Risø/Lille Valby,regional,199,"200592,00%",845,"84500,00%"
2012,Copenhagen/1103,Street,405,"200576,00%",1101,"110100,00%"
